time,q1,q2,q3,q4,q5,q6,qd1,qd2,qd3,qd4,qd5,qd6,qdd1,qdd2,qdd3,qdd4,qdd5,qdd6
2.525000,-0.302152,-1.265232,1.632616,-1.148924,1.344032,-0.585844,-0.529200,0.352800,-0.176400,0.264600,-0.238140,-0.617400,1.344000,-0.896000,0.448000,-0.672000,0.604800,1.568000
2.550000,-0.314955,-1.256697,1.628348,-1.142522,1.338270,-0.600781,-0.494779,0.329852,-0.164926,0.247389,-0.222650,-0.577242,1.407852,-0.938568,0.469284,-0.703926,0.633533,1.642494
2.575000,-0.326879,-1.248747,1.624374,-1.136561,1.332905,-0.614692,-0.458904,0.305936,-0.152968,0.229452,-0.206507,-0.535388,1.460148,-0.973432,0.486716,-0.730074,0.657067,1.703506
2.600000,-0.337891,-1.241406,1.620703,-1.131055,1.327949,-0.627539,-0.421875,0.281250,-0.140625,0.210937,-0.189844,-0.492187,1.500000,-1.000000,0.500000,-0.750000,0.675000,1.750000
2.625000,-0.347966,-1.234690,1.617345,-1.126017,1.323415,-0.639293,-0.384015,0.256010,-0.128005,0.192007,-0.172807,-0.448017,1.526519,-1.017679,0.508840,-0.763259,0.686933,1.780938
2.650000,-0.357087,-1.228608,1.614304,-1.121456,1.319311,-0.649935,-0.345668,0.230445,-0.115223,0.172834,-0.155550,-0.403279,1.538815,-1.025877,0.512938,-0.769407,0.692467,1.795284
2.675000,-0.365248,-1.223168,1.611584,-1.117376,1.315638,-0.659456,-0.307200,0.204800,-0.102400,0.153600,-0.138240,-0.358400,1.536000,-1.024000,0.512000,-0.768000,0.691200,1.792000
2.700000,-0.372450,-1.218367,1.609183,-1.113775,1.312398,-0.667858,-0.269001,0.179334,-0.089667,0.134500,-0.121050,-0.313834,1.517185,-1.011457,0.505728,-0.758593,0.682733,1.770049
2.725000,-0.378704,-1.214198,1.607099,-1.110648,1.309583,-0.675154,-0.231481,0.154321,-0.077160,0.115741,-0.104167,-0.270062,1.481481,-0.987654,0.493827,-0.740741,0.666667,1.728395
2.750000,-0.384033,-1.210645,1.605322,-1.107984,1.307185,-0.681372,-0.195075,0.130050,-0.065025,0.097537,-0.087784,-0.227588,1.428000,-0.952000,0.476000,-0.714000,0.642600,1.666000
